id,product_id,package,price,max_discount,deployment
PR-P17-1,P17,Pilot,₹16-20 Lakhs/year,5%,Cloud
PR-P17-2,P17,Professional,₹18-22 Lakhs/year,10%,Hybrid
PR-P17-3,P17,Enterprise,₹34-38 Lakhs/year,15%,Hybrid / On-prem
PR-P18-1,P18,Pilot,₹18-22 Lakhs/year,5%,Cloud
PR-P18-2,P18,Professional,₹20-24 Lakhs/year,10%,Hybrid
PR-P18-3,P18,Enterprise,₹36-40 Lakhs/year,15%,Hybrid / On-prem
PR-P19-1,P19,Pilot,₹20-24 Lakhs/year,5%,Cloud
PR-P19-2,P19,Professional,₹22-26 Lakhs/year,10%,Hybrid
PR-P19-3,P19,Enterprise,₹38-42 Lakhs/year,15%,Hybrid / On-prem
PR-P20-1,P20,Pilot,₹14-18 Lakhs/year,5%,Cloud
PR-P20-2,P20,Professional,₹16-20 Lakhs/year,10%,Hybrid
PR-P20-3,P20,Enterprise,₹28-32 Lakhs/year,15%,Hybrid / On-prem
PR-P21-1,P21,Pilot,₹12-16 Lakhs/year,5%,Cloud
PR-P21-2,P21,Professional,₹14-18 Lakhs/year,10%,Hybrid
PR-P21-3,P21,Enterprise,₹26-30 Lakhs/year,15%,Hybrid / On-prem
PR-P22-1,P22,Pilot,₹10-14 Lakhs/year,5%,Cloud
PR-P22-2,P22,Professional,₹12-16 Lakhs/year,10%,Hybrid
PR-P22-3,P22,Enterprise,₹22-26 Lakhs/year,15%,Hybrid / On-prem
PR-P23-1,P23,Pilot,₹18-22 Lakhs/year,5%,Cloud
PR-P23-2,P23,Professional,₹20-24 Lakhs/year,10%,Hybrid
PR-P23-3,P23,Enterprise,₹36-40 Lakhs/year,15%,Hybrid / On-prem
PR-P24-1,P24,Pilot,₹14-18 Lakhs/year,5%,Cloud
PR-P24-2,P24,Professional,₹16-20 Lakhs/year,10%,Hybrid
PR-P24-3,P24,Enterprise,₹30-34 Lakhs/year,15%,Hybrid / On-prem
PR-P25-1,P25,Pilot,₹12-16 Lakhs/year,5%,Cloud
PR-P25-2,P25,Professional,₹14-18 Lakhs/year,10%,Hybrid
PR-P25-3,P25,Enterprise,₹26-30 Lakhs/year,15%,Hybrid / On-prem
PR-P26-1,P26,Pilot,₹14-18 Lakhs/year,5%,Cloud
PR-P26-2,P26,Professional,₹16-20 Lakhs/year,10%,Hybrid
PR-P26-3,P26,Enterprise,₹30-34 Lakhs/year,15%,Hybrid / On-prem
PR-P27-1,P27,Pilot,₹21-25 Lakhs/year,5%,Cloud
PR-P27-2,P27,Professional,₹23-27 Lakhs/year,10%,Hybrid
PR-P27-3,P27,Enterprise,₹41-45 Lakhs/year,15%,Hybrid / On-prem
PR-P28-1,P28,Pilot,₹11-15 Lakhs/year,5%,Cloud
PR-P28-2,P28,Professional,₹13-17 Lakhs/year,10%,Hybrid
PR-P28-3,P28,Enterprise,₹24-28 Lakhs/year,15%,Hybrid / On-prem
PR-P29-1,P29,Pilot,₹16-20 Lakhs/year,5%,Cloud
PR-P29-2,P29,Professional,₹18-22 Lakhs/year,10%,Hybrid
PR-P29-3,P29,Enterprise,₹32-36 Lakhs/year,15%,Hybrid / On-prem
